system,firmware,fpga-version,,1
,,processor-version,,2
,,system-version,,3
,,hw-version,,4
,,processor-field-upgrade,,,5
,,,file_name,,5
,,,location,,5
,,fpga-field-upgrade,,,6
,,,file_name,,6
,,,location,,6
,,fpga-upgrade-status,,7
,,processor-upgrade-status,,8
,,switch,,,9
,,serial-no,,10,11
,network,ip-settings,,12,13
,,,ip-addr,12,13
,,,subnet-mask,12,13
,,,gateway,12,13
,,tos,,14,15
,,mtu-size,,16,17
,,mode,,18,19
,,notify-ip-addr,,20,21
,,notify-port,,22,23
,,,port,22,23
,,image-server-ip-addr,,24,25
,,eth-interfaces,,26
,diagnostics,hw-status,,27
,,temperature-threshold,,84,85
,,temperature,,28
,,device-log,,29
,,device-log-level,,30,31
,,device-log-facility,,32,33
,,dev-log-ip-addr,,34,35
,splash-scrn,enable,,36,37
,,upload,,,38
,,,file_name,,38
,,,location,,38
,,get-name,,39
,reset,soft-reset,,,40
,,configuration-reset,,,41
,,factory-reset,,,42
,reboot,,,,43
,authentication,user,,44,45
,,user-pwd,,,46
,,admin,,47,48
,,admin-pwd,,,49
,identification,id,,50,86
,video-mode,enable-3d,,51,52
,config-file,upload,,,53
,,,file-name,,53
,,,location,,53
,,download,,54
,,delete,,,55
,,,file-name,,55
,,update,,,56
,mdns,add-key,,,57
,,,key,,57
,,,data-value,,57
,,delete-key,,,58
,,read-key,,59
,,edit-key,,,60
,,,key,,60
,,,data-value,,60
,misc,board-type,,61
,,led-on-time,,62,63
,,led-off-time,,64,65
,,http-mode,,66,67
,,enable-encryption,,68,69
,,rtc,,70,71
,,,year,70,71
,,,month,70,71
,,,day,70,71
,,,hour,70,71
,,,min,70,71
,,,sec,70,71
,,ftp-mode,,72,73
,,ftp-auth,,87,88
,,,username,87,88
,,,password,87,88
,,acc-debounce-time,,74,75
,,acc1-reaction,,76,77
,,acc2-reaction,,78,79
,,acc1-notify,,80,81
,,acc2-notify,,82,83
video,input,videos,,101
,,resolution,,102
,,frame-rate,,103
,,valid-input,,104
,,cable-presence,,105
,,analog-video,,,106
,,video-interface,,107
,,enable-color-bar,,108,109
,,enable-manual-rx-phy-settings,,149,150
,,rx-phy-parameters,,110,111
,,,y-dc-bias,110,111
,,,cr-dc-bias,110,111
,,,cb-dc-bias,110,111
,,,video-gain,110,111
,,,chroma-gain,110,111
,,,hue,110,111
,,,pedestal-enable,110,111
,,,y-gain,110,111
,,,cr-gain,110,111
,,,cb-gain,110,111
,,,internal-video-generator-enable,110,111
,output,streams,,112
,,frame-rate,,113,114
,,hqll-tx-status,,115
,,pes-tx-status,,116
,,ses-tx-status,,117
,,enable-hqll-tx,,,118
,,enable-pes-tx,,,119
,,enable-ses-tx,,,120
,,pes-resolution,,121,122
,,ses-resolution,,123,124
,,pes-bit-rate,,125,126
,,ses-bit-rate,,127,128
,,hqll-mult-ip-addr,,129,130
,,,ip-addr,129,130
,,,port,129,130
,,pes-mult-ip-addr,,131,132
,,,ip-addr,131,132
,,,port,131,132
,,ses-mult-ip-addr,,133,134
,,,ip-addr,133,134
,,,port,133,134
,,pes-rtp-mode,,135,136
,,enable-pes-msg-auth,,137,138
,,enable-pes-replay-protection,,139,140
,,ses-rtp-mode,,141,142
,,enable-ses-msg-auth,,143,144
,,enable-ses-replay-protection,,145,146
,,mute,,147,148
still-capture,feature-enable,,,201,202
,capture-image,,,,203
,enable-pip,,,204,205
,ip-addr,,,206,207
,,ip_addr,,206,207
,,location,,206,207
,pip-loc,,,208,209
,,x-location,,208,209
,,y-location,,208,209
,pip-time,,,210,211
,,time,,210,211
,enable-transfer,,,212,213
,auto-transfer,,,214,215
,transfer,,,,216
,,image-id,,,216
,jpeg-quality,,,217,218
overlay,feature-enable,,,301,302
,max-images,,,303,304
,max-upload-images,,,305,306
,enable,,,307,308
,upload-image,,,,309
,,file-name,,,309
,,location,,,309
,,id,,,309
,,height,,,309
,,width,,,309
,upload-mute-image,,,,310
,,file-name,,,310
,,location,,,310
,,height,,,310
,,width,,,310
,del-image,,,,311
,,id,,,311
,1,image-params,,312,313
,,,transparency,312,313
,,,x-location,312,313
,,,y-location,312,313
,,,enable,312,313
,,,height,312
,,,width,312
,,,file-name,312
,2,image-params,,314,315
,,,transparency,314,315
,,,x-location,314,315
,,,y-location,314,315
,,,enable,314,315
,,,height,314
,,,width,314
,,,file-name,314
,3,image-params,,316,317
,,,transparency,316,317
,,,x-location,316,317
,,,y-location,316,317
,,,enable,316,317
,,,height,316
,,,width,316
,,,file-name,316
,4,image-params,,318,319
,,,transparency,318,319
,,,x-location,318,319
,,,y-location,318,319
,,,enable,318,319
,,,height,318
,,,width,318
,,,file-name,318
,5,image-params,,320,321
,,,transparency,320,321
,,,x-location,320,321
,,,y-location,320,321
,,,enable,320,321
,,,height,320
,,,width,320
,,,file-name,320
,6,image-params,,322,323
,,,transparency,322,323
,,,x-location,322,323
,,,y-location,322,323
,,,enable,322,323
,,,height,322
,,,width,322
,,,file-name,322
,7,image-params,,324,325
,,,transparency,324,325
,,,x-location,324,325
,,,y-location,324,325
,,,enable,324,325
,,,height,324
,,,width,324
,,,file-name,324
,8,image-params,,326,327
,,,transparency,326,327
,,,x-location,326,327
,,,y-location,326,327
,,,enable,326,327
,,,height,326
,,,width,326
,,,file-name,326
,video-mute-image-params,,,328,329
,,x-location,,328,329
,,y-location,,328,329
,,height,,328
,,width,,328
audio,input,valid-input,,401
,,enable-rx,,402,403
,,fine-gain,,404,405
,,coarse-gain,,406,407
,,mute,,408,409
,,loopback,,410,411
,,rx-mult-ip-addr,,412,413
,,,ip-addr,412,413
,,,port,412,413
,output,enable-tx,,414,415
,,tx-mult-ip-addr,,416,417
,,,ip-addr,416,417
,,,port,416,417
,,fine-gain,,418,419
,,coarse-gain,,420,421
,,mute,,422,423
,,fade,,424,425
kvm,feature-enable,,,501,502
,usb-link-status,,,503
rs232,feature-enable,,,601,602
,get-devices,,,603
,0,open-connection,,,604
,,close-connection,,,605
,,flush,,,606
,,params,,607,608
,,,baud-rate,607,608
,,,data-bits,607,608
,,,parity,607,608
,,,stop-bit,607,608
,,,flow-control,607,608
,,send,,,609
,,data-in-notification,,610,611
,,read-existing,,612
,,read-line,,613
fpga-registers,,,,701,702
i2c-registers,,,,801,802
